TID: [2022-06-01 11:55:30,087]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [-1234] [] [2022-06-01 11:55:58,732]  INFO {org.apache.synapse.SynapseControllerFactory} - Using synapse.xml location : /Users/jrube00/Downloads/wso2am-4.1.0/././repository/deployment/server/synapse-configs/default
TID: [-1234] [] [2022-06-01 11:55:58,732]  INFO {org.apache.synapse.SynapseControllerFactory} - Using server name : localhost
TID: [-1234] [] [2022-06-01 11:55:58,759]  INFO {org.apache.synapse.SynapseControllerFactory} - The timeout handler will run every : 15s
TID: [-1234] [] [2022-06-01 11:55:58,798]  INFO {org.apache.synapse.Axis2SynapseController} - Initializing Synapse at : Wed Jun 01 11:55:58 PDT 2022
TID: [-1234] [] [2022-06-01 11:55:58,809]  INFO {org.wso2.carbon.mediation.initializer.CarbonSynapseController} - Loading the mediation configuration from the file system
TID: [-1234] [] [2022-06-01 11:55:58,814]  INFO {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder} - Building synapse configuration from the synapse artifact repository at : ././repository/deployment/server/synapse-configs/default
TID: [-1234] [] [2022-06-01 11:55:58,815]  INFO {org.apache.synapse.config.xml.XMLConfigurationBuilder} - Generating the Synapse configuration model by parsing the XML configuration
TID: [-1234] [] [2022-06-01 11:55:59,013]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : main was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-01 11:55:59,016]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _cors_request_handler_ was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-01 11:55:59,031]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _throttle_out_handler_ was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-01 11:55:59,035]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _build_ was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-01 11:55:59,082]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : dispatchSeq was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-01 11:55:59,083]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : outDispatchSeq was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-01 11:55:59,093]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _threat_fault_ was added to the Synapse configuration successfully
